,GeneID,logfc_Native_CM,logfc_Early_hipsc_CM,description
223,ABLIM2,5.90402,-1.881808,actin binding LIM protein family member 2 [Source:HGNC Symbol;Acc:HGNC:19195]
169,KRT18,-6.257184,1.7752342,keratin 18 [Source:HGNC Symbol;Acc:HGNC:6430]
142,ARL6IP1,-6.4631953,1.7118945,ARL6 interacting reticulophagy regulator 1 [Source:HGNC Symbol;Acc:HGNC:697]
378,GPNMB,5.1047845,-2.1573048,glycoprotein nmb [Source:HGNC Symbol;Acc:HGNC:4462]
499,PHGDH,-4.6341634,2.375223,phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:HGNC:8923]
328,UCHL1,-5.294197,2.0765903,ubiquitin C-terminal hydrolase L1 [Source:HGNC Symbol;Acc:HGNC:12513]
295,F2R,-5.4615517,2.0076263,coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]
773,SLC16A7,3.7084575,-2.9557242,solute carrier family 16 member 7 [Source:HGNC Symbol;Acc:HGNC:10928]
1602,NTS,-1.954176,5.6072645,neurotensin [Source:HGNC Symbol;Acc:HGNC:8038]
502,CPEB3,4.6180224,-2.3689544,cytoplasmic polyadenylation element binding protein 3 [Source:HGNC Symbol;Acc:HGNC:21746]
1471,SCG2,-2.193038,4.9868855,secretogranin II [Source:HGNC Symbol;Acc:HGNC:10575]
269,BISPR,-5.559515,1.9665508,BST2 interferon stimulated positive regulator [Source:HGNC Symbol;Acc:HGNC:51290]
368,CAMK2N1,-5.147792,2.1201148,calcium/calmodulin dependent protein kinase II inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:24190]
1211,WT1,-2.6673782,4.0848236,WT1 transcription factor [Source:HGNC Symbol;Acc:HGNC:12796]
1036,GAL,-3.0829647,3.5262332,galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]
1236,PCDH10,-2.6285968,4.122753,protocadherin 10 [Source:HGNC Symbol;Acc:HGNC:13404]
1383,LDB3,2.3819792,-4.517281,LIM domain binding 3 [Source:HGNC Symbol;Acc:HGNC:15710]
444,APOC1,-4.8211193,2.2155468,apolipoprotein C1 [Source:HGNC Symbol;Acc:HGNC:607]
88,NR3C2,7.1014414,-1.5005476,nuclear receptor subfamily 3 group C member 2 [Source:HGNC Symbol;Acc:HGNC:7979]
1417,MYOM1,2.3069005,-4.6155267,myomesin 1 [Source:HGNC Symbol;Acc:HGNC:7613]
321,RAPGEF4,5.3405685,-1.9867697,Rap guanine nucleotide exchange factor 4 [Source:HGNC Symbol;Acc:HGNC:16626]
804,AQP3,-3.6417618,2.8979297,aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]
260,TOP2A,-5.5840907,1.8888927,DNA topoisomerase II alpha [Source:HGNC Symbol;Acc:HGNC:11989]
1408,DKK4,-2.3340774,4.518095,dickkopf WNT signaling pathway inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:2894]
848,IGLON5,-3.51364,3.0010328,IgLON family member 5 [Source:HGNC Symbol;Acc:HGNC:34550]
332,BCAT1,-5.2919765,1.9804376,branched chain amino acid transaminase 1 [Source:HGNC Symbol;Acc:HGNC:976]
334,PCDHGB7,-5.284656,1.9807485,"protocadherin gamma subfamily B, 7 [Source:HGNC Symbol;Acc:HGNC:8714]"
165,CTSV,-6.270868,1.6679682,cathepsin V [Source:HGNC Symbol;Acc:HGNC:2538]
724,ASB16,3.849459,-2.7129269,ankyrin repeat and SOCS box containing 16 [Source:HGNC Symbol;Acc:HGNC:19768]
338,SFRP5,-5.2733655,1.9794409,secreted frizzled related protein 5 [Source:HGNC Symbol;Acc:HGNC:10779]
687,KCTD14,-3.9366446,2.6445975,potassium channel tetramerization domain containing 14 [Source:HGNC Symbol;Acc:HGNC:23295]
344,SAMD11,-5.240371,1.9815122,sterile alpha motif domain containing 11 [Source:HGNC Symbol;Acc:HGNC:28706]
108,GALNT17,6.907556,-1.5028147,polypeptide N-acetylgalactosaminyltransferase 17 [Source:HGNC Symbol;Acc:HGNC:16347]
