"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GNG12-AS1",0,2.22019192841617,0.225,0.042,0
"LSM2",0,-3.43310017111743,0.023,0.206,0
"MINDY2",0,1.75005123217409,0.3,0.117,0
"MTCH2",0,-1.79743225212171,0.11,0.293,0
"PCNT",0,2.75339136954371,0.229,0.046,0
"SLC22A15",0,4.35258633326659,0.193,0.01,0
"SPIDR",0,1.32028281234639,0.313,0.13,0
"TMEM50A",0,-2.45897857712691,0.064,0.247,0
"USP24",0,1.59123481690763,0.298,0.115,0
"CADM2",0,4.34404153375913,0.201,0.019,0
"CISD1",0,-1.50107133286874,0.211,0.393,0
"DOP1A",0,1.97651700753663,0.272,0.09,0
"ECI1",0,-1.74957306261529,0.151,0.333,0
"PSMD8",0,-1.50715415796659,0.159,0.341,0
"ARHGEF11",0,2.16444657735132,0.26,0.078,0
"ATRN",0,2.11729718773866,0.265,0.083,0
"CAPNS1",0,-2.23653205209298,0.065,0.247,0
"CDK8",0,1.60478201350631,0.3,0.118,0
"ENSG00000225885",0,14.1013283467371,0.182,0,0
"PSMB2",0,-2.29642637331974,0.084,0.266,0
"SCFD2",0,2.34875033289159,0.239,0.057,0
"SEPTIN5",0,-5.20617304823469,0.013,0.195,0
"SMARCA2",0,1.51009184985193,0.302,0.12,0
"UGT2B4",0,7.08171304119235,0.185,0.003,0
"ZNF44",0,2.15097053685502,0.265,0.083,0
"BMT2",0,-16.4664610992475,0,0.182,0
"UQCRC1",0,-1.41525308219257,0.234,0.416,0
"ZNF644",0,1.30507830472859,0.35,0.168,0
"RRAD",0,-1.65678016014479,0.348,0.529,0
"ERCC1",0,-1.87603403693828,0.092,0.273,0
"RPTOR",0,2.07899007803183,0.27,0.089,0
"STK38L",0,1.48189468904414,0.337,0.156,0
"ALDOC",0,-3.49043520771976,0.031,0.212,0
"APRT",0,-3.30515019395731,0.025,0.206,0
"CKS1B",0,-5.65436079125352,0.008,0.189,0
"CTNNA1",0,0.744632323844611,0.492,0.311,0
"DDAH2",0,-3.41224719017362,0.027,0.208,0
