"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"UBE2Q2",0,-1.48997289986574,0.06,0.371,0
"ZNF581",0,-6.37800292528294,0.003,0.314,0
"TWISTNB",0,-15.5881131226906,0,0.311,0
"CITED4",0,-2.51853084281801,0.033,0.344,0
"KPNA4",0,-0.317045656722036,0.21,0.52,0
"C2orf49",0,-1.90656463776101,0.052,0.362,0
"ENSG00000250938",0,15.6251659918841,0.31,0,0
"PURB",0,-1.63368327827581,0.074,0.384,0
"KIAA1324L",0,-15.8497004198893,0,0.31,0
"AUTS2",0,3.7829195803378,0.553,0.244,0
"NOVA1",0,-2.16300342457642,0.032,0.341,0
"TMEM126B",0,-0.986144995701594,0.091,0.4,0
"FAM13B",0,3.74398662631587,0.487,0.178,0
"MICOS13",0,-0.792908573723749,0.132,0.441,0
"RPF2",0,-1.381093551431,0.073,0.382,0
"SLC1A5",0,-6.08447810576211,0.003,0.312,0
"SMARCD1",0,-1.98199881980921,0.045,0.354,0
"TRAPPC3",0,-1.03382507468213,0.085,0.394,0
"ZSCAN16-AS1",0,-1.27004230244625,0.082,0.391,0
"AK1",0,-1.42360929625578,0.087,0.395,0
"DNAJC2",0,-0.848776847606932,0.115,0.423,0
"KCNQ1",0,4.77319662192183,0.365,0.057,0
"RBM27",0,-1.53404153709192,0.103,0.411,0
"SEC13",0,-0.626853989824247,0.12,0.428,0
"SLC25A23",0,-1.73793453799476,0.056,0.364,0
"TRAPPC9",0,4.15607898206498,0.427,0.119,0
"MFSD14C",0,-15.7073449728902,0,0.308,0
"KIF1BP",0,-15.5310443121567,0,0.308,0
"QSER1",0,-1.11362167193277,0.099,0.407,0
"LHFPL2",0,-2.51229576601754,0.031,0.338,0
"POLR2B",0,-0.410286662842559,0.146,0.453,0
"UBE2N",0,-0.593847485042731,0.145,0.452,0
"ENSG00000238273",0,15.8000168784867,0.307,0,0
"MMAB",0,-1.17719950665944,0.077,0.384,0
"MRPL30",0,-4.21972660447783,0.014,0.321,0
"STARD3NL",0,-1.25167147707293,0.077,0.384,0
"ZNF680",0,5.10963487849295,0.357,0.05,0
"AGPAT5",0,-3.11124806103679,0.02,0.326,0
"DMAC2",0,-1.35768133086901,0.061,0.367,0
"FZD2",0,-6.02643059150584,0.002,0.308,0
"MYOCD-AS1",0,15.7151832968808,0.306,0,0
"SHMT2",0,-5.17242649388524,0.004,0.31,0
"TMEM203",0,-3.18312396623052,0.014,0.32,0
"TUBGCP2",0,-0.669143247272817,0.125,0.431,0
"MDH1",0,-0.69271547467225,0.51,0.816,0
"CD46",0,-0.311688365759282,0.21,0.515,0
"PXMP2",0,-2.73381913592451,0.034,0.339,0
"BCL7C",0,-0.926786758530208,0.085,0.39,0
"CASP3",0,-1.51963766682357,0.067,0.372,0
"COX7A1",0,6.08103661757241,0.323,0.018,0
"EBNA1BP2",0,-1.62343768612471,0.046,0.351,0
"EFNB3",0,-8.48370302669648,0,0.305,0
"ENSG00000251314",0,15.4598356539284,0.305,0,0
"LIN28B",0,-4.67837765443187,0.005,0.31,0
"LINC02984",0,15.8314634490935,0.305,0,0
"PAFAH1B2",0,-0.264115280704575,0.195,0.5,0
"PMPCA",0,-1.66436083124888,0.047,0.352,0
"SCARB2",0,-0.779809843846952,0.134,0.439,0
"SCCPDH",0,-1.31568794973113,0.072,0.377,0
"SORBS3",0,-2.36369855157159,0.027,0.332,0
"TRAP1",0,-0.757964079689583,0.116,0.421,0
"HARS",0,-15.492297140105,0,0.305,0
"LRRC47",0,-2.01712617780395,0.036,0.34,0
"BDH2",0,-2.72357579950727,0.025,0.329,0
"CETN3",0,-1.63848066807307,0.067,0.371,0
"CFLAR-AS1",0,8.84992238039501,0.307,0.003,0
